SourceFile,FileName,Description
IMG_5481.jpeg,IMG_5481.jpeg,Excited for the trip start
IMG_5484.jpeg,IMG_5484.jpeg,Annnd we've landed
IMG_5490.jpeg,IMG_5490.jpeg,Dinner @ Da Tita (Majorda). Yum!
IMG_5512.jpeg,IMG_5512.jpeg,Our shared love for reading!
IMG_5519.jpeg,IMG_5519.jpeg,Beach time!
IMG_5522.jpeg,IMG_5522.jpeg,Mom's candid pic
IMG_5533.jpeg,IMG_5533.jpeg,Lovely property
IMG_5537.jpeg,IMG_5537.jpeg,Day 2 : Breakfast at Divar Island Grand Mercure
IMG_5550.jpeg,IMG_5550.jpeg,Post breakfast walk at Grand Mercure
IMG_5553.jpeg,IMG_5553.jpeg,We took ferry (and car in it) to Divar. Ryan loving the experience
IMG_5554.jpeg,IMG_5554.jpeg,Exploring a haunted house
IMG_5557.jpeg,IMG_5557.jpeg,We had such a blast in most calm sea!
IMG_5569.jpeg,IMG_5569.jpeg,Martin's Corner. This is a ritual. Ryan doing swag pose
IMG_5573.jpeg,IMG_5573.jpeg,Martin Corner
IMG_5585.jpeg,IMG_5585.jpeg,In love with the beach.
IMG_5591.jpeg,IMG_5591.jpeg,Another candid pic of maa at Arossim Beach
IMG_5596.jpeg,IMG_5596.jpeg,Ryan met Gabru!
IMG_5602.jpeg,IMG_5602.jpeg,Ryan and Gabru
IMG_5618.jpeg,IMG_5618.jpeg,At Three Kings festival
IMG_5625.jpeg,IMG_5625.jpeg,Mandatory Sand Castle Building
IMG_5641.jpeg,IMG_5641.jpeg,
IMG_5647.jpeg,IMG_5647.jpeg,Another breakfast at Dinha's
IMG_5648.jpeg,IMG_5648.jpeg,In love with Banana Nutrella Pancake
IMG_5668.jpeg,IMG_5668.jpeg,Shopping time at Panjim
IMG_5672.jpeg,IMG_5672.jpeg,Dolphin Cruise
IMG_5680.jpeg,IMG_5680.jpeg,Lovely sunset during Dolphin Cruise
IMG_5692.jpeg,IMG_5692.jpeg,Dinner at the Lazy Goose.Amazing pizza
IMG_5693.jpeg,IMG_5693.jpeg,Novotel Goa Candolim. Very disappointing stay
IMG_5709.jpeg,IMG_5709.jpeg,Taj Fort Agauda. Such a beautiful property
IMG_5722.jpeg,IMG_5722.jpeg,It is always jhappi time
IMG_5724.jpeg,IMG_5724.jpeg,Ek Dadi ke saath bhi
IMG_5741.jpeg,IMG_5741.jpeg,Last sunset of the trip
IMG_5748.jpeg,IMG_5748.jpeg,Candids
IMG_5754.jpeg,IMG_5754.jpeg,Taj Fort Agauda
IMG_5756.jpeg,IMG_5756.jpeg,Book Haul during the trip
IMG_5760.jpeg,IMG_5760.jpeg,"Leg in leg, no mood to go back"
IMG_5766.jpeg,IMG_5766.jpeg,Mein NAHI jaaunga waapas
IMG_5773.jpeg,IMG_5773.jpeg,At Goa Airport. Trying hard to smile
IMG_5777.jpeg,IMG_5777.jpeg,Screenshot
